,product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,Freq
32950,106392145fca363410d287a815be6de4,cama_mesa_banho,58.0,309.0,1.0,2083.0,12.0,2.0,7.0,3029.0
18943,8beaa9c2347824b1bf4f8784a0cb5ee4,esporte_lazer,38.0,166.0,1.0,900.0,20.0,20.0,15.0,2867.0
28165,9a6fea01f6d5bfc01c9ac539f93da5ac,moveis_decoracao,55.0,1993.0,3.0,5700.0,70.0,4.0,55.0,2657.0
11655,3117effa9f933a3805a309706e949af3,beleza_saude,60.0,246.0,1.0,1300.0,30.0,15.0,30.0,2444.0
6283,a1d29fcea65a08f06b17d824306628cc,utilidades_domesticas,59.0,881.0,2.0,1600.0,42.0,15.0,24.0,2335.0
1945,3dc7db1edfac20883ed35ecfec05a3cc,automotivo,60.0,547.0,1.0,1050.0,16.0,5.0,16.0,1900.0
12059,dc0289c8cd78fb2f6c41bb8be865cbec,informatica_acessorios,57.0,596.0,1.0,100.0,18.0,11.0,12.0,1639.0
382,eced39e6c33db4b865ea46d12dde67d8,brinquedos,59.0,3492.0,3.0,650.0,35.0,10.0,15.0,1411.0
23259,2b28903240e8ae0f0c45a14e769d9431,relogios_presentes,53.0,1300.0,3.0,400.0,16.0,11.0,12.0,1329.0
20984,e3735b32b9df1055b996a9dc680bfe27,telefonia,38.0,233.0,1.0,100.0,19.0,4.0,11.0,1134.0
24272,e8fc96704cf9c7c35ded1227ce7fc83c,bebes,55.0,416.0,2.0,1150.0,36.0,16.0,24.0,919.0
26253,7c9d0c4f31e1c76d92518112b8f4b348,perfumaria,55.0,708.0,1.0,200.0,16.0,16.0,11.0,868.0
15855,8301e489165ea0f91dd987fafebbe58c,fashion_bolsas_e_acessorios,51.0,220.0,2.0,150.0,24.0,4.0,34.0,849.0
27328,fddec93a56600e40327c7a9e66c98feb,papelaria,45.0,1297.0,1.0,1150.0,16.0,8.0,45.0,849.0
15121,7f7da198305ad62091daf841ed6acc6e,cool_stuff,46.0,611.0,2.0,450.0,22.0,12.0,22.0,789.0
19744,b3d0dc381a72d9d125dcb88e31a3e00c,ferramentas_jardim,56.0,274.0,1.0,1200.0,30.0,30.0,30.0,753.0
6559,63dee6756e0e8bbf04e52803409d4673,pet_shop,49.0,352.0,2.0,4900.0,50.0,20.0,50.0,719.0
30521,63bfa27a0cee21fd896dc27f58b6d656,eletronicos,59.0,600.0,6.0,475.0,20.0,11.0,19.0,517.0
8635,49ae25c5f82cd4bc8057d0b16d45af3a,construcao_ferramentas_construcao,35.0,384.0,1.0,1050.0,34.0,7.0,21.0,400.0
14980,c900bb01100f7e72011f57af81326b90,eletrodomesticos,57.0,1799.0,3.0,50.0,26.0,2.0,12.0,370.0
3810,7aa53bb43cb5b12d70be2a69d1e3c364,malas_acessorios,58.0,487.0,3.0,16200.0,26.0,57.0,39.0,349.0
24042,619d2ba7f3d5ad00cbd93ecd49789a44,consoles_games,29.0,648.0,4.0,400.0,28.0,4.0,18.0,317.0
24912,b11671939984d7f8b038369720ed36d3,moveis_escritorio,41.0,1418.0,1.0,5500.0,22.0,22.0,33.0,309.0
17810,b25286ea1d4431a1f33b67a706e0f97d,instrumentos_musicais,56.0,94.0,1.0,1100.0,30.0,20.0,20.0,289.0
16147,79366d6a24de9351b7ca6e3cf75a68ec,eletroportateis,44.0,2558.0,1.0,1100.0,34.0,11.0,25.0,231.0
20263,d967e722339b5694c236717a78497634,casa_construcao,46.0,841.0,4.0,700.0,22.0,18.0,22.0,225.0
